study_ID,latitude,longitude,trt,tif
51,38.501311,22.918594,51,N36E021
190,52.0726,-2.7264,190,N51W003
407,47.74658,9.45778,407,N45E009
407,47.69896,9.41692,407,N45E009
407,47.71546,9.45012,407,N45E009
407,47.68124,9.5012,407,N45E009
265,52.10424,-2.92314,265,N51W003
265,52.08439,-2.90624,265,N51W003
265,52.12045,-2.91151,265,N51W003
265,52.08977,-2.91027,265,N51W003
4,54.083333,-0.816667,4,N54W003
1155,38.56,-121.86,1155.ca,N36W123
1155,43.87,-85.69,1155.mi,N42W087
1155,29.4,-82.18,1155.fl,N27W084
1815,38.330897,-75.678645,1815,N36W078
1815,37.391667,-75.949667,1815,N36W078
1815,37.588654,-75.821345,1815,N36W078
1815,36.715735,-76.015809,1815,N36W078
1815,36.704733,-75.9917,1815,N36W078
1815,37.712667,-75.671459,1815,N36W078
1815,37.648958,-75.676925,1815,N36W078
1815,37.334838,-75.997241,1815,N36W078
1815,38.213033,-75.671183,1815,N36W078
1815,38.454133,-75.701134,1815,N36W078
1028,51.5862508830715,10.1766382672395,1028.ann,N51E009
1028,51.4504995350052,9.74904204264646,1028.ann,N51E009
1028,51.597808463522,10.0331905051502,1028.ann,N51E009
1028,51.6087851780793,10.0043977387969,1028.ann,N51E009
1028,51.4370629111639,9.77496951466028,1028.ann,N51E009
1028,51.5371908773852,10.1153934892398,1028.ann,N51E009
1028,51.5214171197541,10.1783902930407,1028.ann,N51E009
1028,51.5394463632252,10.2268844402273,1028.mix,N51E009
1028,51.5008086790348,10.1718422609623,1028.mix,N51E009
1028,51.5536010952918,10.2180569911965,1028.mix,N51E009
1028,51.5969778410493,10.2113111864624,1028.mix,N51E009
1028,51.4901016429889,9.69631166514938,1028.mix,N51E009
1028,51.6031084804896,10.1968191366111,1028.mix,N51E009
1028,51.5301902064567,10.1676337622228,1028.mix,N51E009
1028,51.529870623693,9.83923175724655,1028.per,N51E009
1028,51.4656533268271,9.72440907372355,1028.per,N51E009
1028,51.5168492207755,10.1710075193636,1028.per,N51E009
1028,51.5309496477372,10.1854558996425,1028.per,N51E009
1028,51.46413271,9.7465438120681,1028.per,N51E009
1028,51.458967272937,9.74113170122743,1028.per,N51E009
1028,51.5822361412842,10.1775114215256,1028.per,N51E009
516,50.15027445,10.04378935,516.germany12,N48E009
516,50.05713071,9.78700564,516.germany12,N48E009
516,50.02328636,9.90587848,516.germany12,N48E009
516,49.99806797,9.76231968,516.germany12,N48E009
516,49.78342729,9.8077964,516.germany12,N48E009
516,49.77725873,10.00901986,516.germany12,N48E009
516,49.69312121,9.98607939,516.germany12,N48E009
516,49.5564389,10.04328558,516.germany12,N48E009
516,55.77113553,13.58094652,516.sweden12,N54E012
516,55.98378367,12.93442415,516.sweden12,N54E012
516,55.75597394,13.72148019,516.sweden12,N54E012
516,55.87499779,13.20349331,516.sweden12,N54E012
516,55.49311006,14.21925375,516.sweden12,N54E012
516,55.64629121,13.97667567,516.sweden12,N54E012
516,55.58658789,14.0630596,516.sweden12,N54E012
516,55.71668483,13.70551053,516.sweden12,N54E012
516,52.161678,6.065244,516.netherland12,N51E006
516,51.890003,6.271196,516.netherland12,N51E006
516,52.311516,6.230497,516.netherland12,N51E006
516,51.930746,6.218676,516.netherland12,N51E006
516,52.170787,6.533615,516.netherland12,N51E006
516,52.286432,6.195681,516.netherland12,N51E006
516,52.367566,6.848077,516.netherland12,N51E006
516,52.245109,6.236758,516.netherland12,N51E006
516,51.548807,-1.1613743,516.uk12,N51W003
516,51.541581,-1.1105192,516.uk12,N51W003
516,51.551042,-1.4913056,516.uk12,N51W003
516,51.573859,-1.5032729,516.uk12,N51W003
516,51.642366,-1.0406408,516.uk12,N51W003
516,51.523927,-1.4332171,516.uk12,N51W003
516,51.297084,-1.2792761,516.uk12,N51W003
