ID,Area (sqm),Year,Grid Reference
1,37.2,2,NS 79381 97006
2,188.9,2,NS 80585 90996
3,68.9,2,NS 79309 92257
4,12.3,1,NS 80138 91956
5,47,2,NS 70581 96655
6,22.4,2,NS 79944 92234
7,20.3,2,NS 79944 92217
8,18,1,NS 77821 92367
9,57.1,2,NS 77547 92322
10,94.78,2,NS 79471 95095
11,130.3,2,NS 79370 95163
12,127,2,NS 79334 95229
13,12,1,NN 78097 00588
14,21,1,NS 78524 92534
15,71.6,1,NS 77900 92332
16,177.5,2,NS 78888 92713
17,49,2,NS 80426 93002
18,105.6,2,NS 78107 94545
19,65.3,2,NS 78338 94278
20,69.4,2,NS 78253 94374
21,22.1,2,NN 79031 01474
22,38.5,2,NS 79820 94532
23,125.8,1,NS 79986 94482
24,4.2,2,NS 79024 94755
25,15.9,2,NS 79046 94731
26,156.5,1,NN 78473 01248
27,27.6,2,NS 81613 93495
28,28.3,1,NS 79200 91874
29,27.9,1,NS 79196 91858
30,21,1,NS 79192 91835
